Source.Name,Selection,View,Channel,Begin Time (s),End Time (s),Peak Freq (Hz),PFC Max Freq (Hz),PFC Min Freq (Hz),Avg Entropy (bits),Center Freq (Hz),BW 90% (Hz),first_pcf_value,last_pcf_value,Time_duration,Peak Freq Contour (Hz),High Freq (Hz),Low Freq (Hz),Species
ABF_F109_ZOOM0003_Tr2.Table.1.selections.txt,20,Spectrogram 1,1,367.4969753,367.5869143,3000,3187.5,2531.25,2.709,3000,656.25,2718.75,3187.5,0.089939,2718.750;3093.750;3093.750;2812.500;2718.750;2531.250;2906.250;3187.500;3093.750;3187.500;3000.000;3000.000;2625.000;3000.000;3000.000;3187.500,3394.113,2498.444,ABF
ABF_F109_ZOOM0003_Tr2.Table.1.selections.txt,21,Spectrogram 1,1,367.6707558,367.7599326,3187.5,3187.5,2812.5,2.73,3093.75,656.25,2812.5,3187.5,0.0891768,2812.500;3187.500;3187.500;2906.250;2906.250;2906.250;2812.500;3187.500;3187.500;3093.750;3187.500;3093.750;3187.500;3187.500;3187.500,3582.674,2451.304,ABF
ABF_F109_ZOOM0003_Tr2.Table.1.selections.txt,22,Spectrogram 1,1,367.8343081,367.9493995,3281.25,3468.75,2812.5,2.574,3187.5,656.25,3000,3093.75,0.1150914,3000.000;3000.000;3468.750;3468.750;3281.250;3281.250;3187.500;3281.250;3375.000;3375.000;2906.250;3281.250;3281.250;2812.500;3093.750;3375.000;3281.250;3281.250;3281.250;3375.000;3093.750,3488.393,2639.865,ABF
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,1,Spectrogram 1,1,246.1321807,246.3198927,3562.5,6468.75,3187.5,4.993,4968.75,3843.75,4687.5,6281.25,0.187712,4687.500;4218.750;3187.500;5625.000;4312.500;3937.500;4687.500;4500.000;5250.000;5718.750;5625.000;5250.000;5250.000;4687.500;4218.750;4125.000;4312.500;4312.500;5156.250;5718.750;4593.750;6468.750;3562.500;4781.250;5156.250;5062.500;5718.750;4781.250;4781.250;3750.000;4593.750;3750.000;4875.000;6281.250,9321.739,3060.87,AD
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,2,Spectrogram 1,1,248.5058825,248.5272239,2437.5,3937.5,2437.5,4.964,3468.75,4218.75,3937.5,2437.5,0.0213414,3937.500;2437.500;2437.500,7304.348,1947.826,AD
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,3,Spectrogram 1,1,250.6879967,250.7017162,2437.5,2437.5,2437.5,5.482,4593.75,5531.25,2437.5,2437.5,0.0137195,2437.5,10365.217,2086.957,AD
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,4,Spectrogram 1,1,253.6076498,253.6549759,3750,4031.25,2625,5.047,3750,4218.75,3843.75,3093.75,0.0473261,3843.750;3750.000;4031.250;2625.000;3750.000;2625.000;4031.250;3093.750,7373.913,1530.435,AD
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,5,Spectrogram 1,1,254.8543935,254.8803081,5625,7968.75,2531.25,5.924,6187.5,8156.25,7968.75,2531.25,0.0259146,7968.750;5625.000;5625.000;2531.250,12591.304,2226.087,AD
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,8,Spectrogram 1,1,246.500981,246.6518879,5625,6281.25,4312.5,4.897,5437.5,3843.75,5437.5,5343.75,0.1509069,5437.500;5531.250;5437.500;5437.500;5250.000;5625.000;4968.750;5531.250;5250.000;5156.250;4312.500;4781.250;5156.250;5062.500;6093.750;5437.500;4500.000;5718.750;5437.500;4687.500;5625.000;5156.250;5718.750;5343.750;6281.250;5625.000;5343.750;5343.750,8695.652,3130.435,AD
AD_F025_ZOOM0004_Tr2.Table.1.selections.txt,9,Spectrogram 1,1,246.7251855,246.8717807,5343.75,6843.75,4781.25,4.703,5343.75,3281.25,5906.25,6281.25,0.1465952,5906.250;5343.750;5437.500;5156.250;4875.000;5156.250;4968.750;5531.250;4875.000;6281.250;5343.750;5156.250;5250.000;5437.500;5343.750;5343.750;4875.000;5812.500;6843.750;6093.750;5343.750;5812.500;5250.000;5250.000;4781.250;6093.750;6281.250,8069.565,3547.826,AD
